,team,opponent,W,L,GF,GA,SF,SA,PP%,PK%,FOW%,date,home_ind
242,STL,NJD,1,0,5,2,37,24,33.3,100.0,49.3,2016-01-12,1
243,WSH,BUF,1,0,2,0,26,31,0.0,100.0,44.4,2015-12-28,0
244,NYI,TOR,1,0,6,3,21,33,0.0,100.0,55.2,2015-12-29,0
245,SJS,ARI,1,0,3,1,23,24,50.0,100.0,34.0,2016-01-21,0
246,FLA,MTL,1,0,3,1,30,30,20.0,66.7,40.6,2015-12-29,1
247,CGY,EDM,1,0,5,3,37,31,66.7,100.0,54.1,2015-12-27,1
248,WPG,SJS,1,0,4,1,27,28,33.3,80.0,42.1,2016-01-02,0
249,VAN,EDM,1,0,3,3,28,38,0.0,66.7,54.2,2016-04-09,1
250,TBL,FLA,1,0,3,1,32,27,0.0,100.0,52.8,2016-01-17,1
251,NYI,WSH,1,0,4,3,27,32,0.0,100.0,50.0,2016-04-05,0
252,LAK,EDM,1,0,2,1,36,27,0.0,100.0,52.3,2016-02-25,1
253,DAL,MIN,1,0,4,3,30,40,33.3,66.7,44.6,2016-02-09,0
254,NYR,CAR,1,0,3,0,23,33,0.0,100.0,36.2,2015-11-10,1
255,SJS,VAN,1,0,4,1,28,24,25.0,100.0,56.4,2016-02-28,0
256,COL,TBL,1,0,2,1,26,35,0.0,75.0,44.6,2015-10-29,0
257,CBJ,PHI,1,0,2,2,53,33,0.0,80.0,50.0,2016-03-22,1
258,NYI,NJD,1,0,1,0,24,27,0.0,100.0,46.2,2016-02-19,0
259,NSH,NJD,1,0,3,1,20,23,50.0,50.0,51.5,2015-10-13,0
260,PIT,MTL,1,0,3,3,34,38,0.0,75.0,48.6,2015-11-11,1
261,CHI,SJS,1,0,5,2,26,29,0.0,80.0,53.7,2015-11-25,0
262,PIT,MTL,1,0,3,1,32,34,25.0,100.0,37.7,2016-01-09,0
263,NJD,DAL,1,0,3,2,30,31,25.0,100.0,45.0,2016-01-02,1
264,BOS,TOR,1,0,3,3,29,42,0.0,100.0,42.9,2015-11-23,0
265,BUF,SJS,1,0,3,1,22,25,0.0,0.0,43.8,2016-02-26,0
266,TOR,EDM,1,0,3,0,26,24,33.3,100.0,55.8,2015-11-30,1
267,NYI,CBJ,1,0,2,2,46,31,50.0,100.0,54.1,2016-02-09,0
268,VAN,NYR,1,0,2,1,25,33,16.7,100.0,48.1,2015-12-09,1
269,STL,SJS,1,0,1,0,24,37,0.0,100.0,42.6,2016-03-22,0
270,CAR,NJD,1,0,3,1,25,20,0.0,100.0,50.0,2015-12-26,1
271,PIT,WPG,1,0,4,1,33,28,0.0,50.0,57.4,2016-02-27,1
272,TBL,NYI,1,0,7,4,42,31,0.0,100.0,54.1,2016-03-25,1
273,EDM,CAR,1,0,1,0,27,29,0.0,100.0,50.0,2016-01-04,1
274,WPG,ANA,1,0,2,1,26,28,0.0,75.0,38.6,2016-04-05,0
275,PIT,DET,1,0,5,2,37,35,66.7,100.0,50.8,2015-12-31,0
276,STL,WPG,1,0,4,2,41,29,16.7,71.4,55.6,2015-10-18,0
277,WSH,PHI,1,0,5,2,32,20,66.7,75.0,55.9,2015-11-12,0
278,NYI,NJD,1,0,2,1,34,24,0.0,80.0,45.6,2015-11-03,1
279,WSH,OTT,1,0,4,2,22,30,50.0,100.0,49.2,2016-03-22,0
280,NYI,DAL,1,0,6,5,44,41,28.6,75.0,47.7,2016-01-03,1
281,BOS,FLA,1,0,3,1,25,27,100.0,100.0,56.1,2015-12-12,1
282,COL,NJD,1,0,2,1,25,28,0.0,100.0,55.4,2015-12-01,0
283,WPG,ARI,1,0,5,2,37,34,25.0,100.0,38.5,2016-01-26,1
284,WPG,NYR,1,0,4,1,29,41,40.0,100.0,39.3,2015-10-13,0
285,ANA,CBJ,1,0,4,2,34,36,33.3,100.0,62.5,2015-11-06,1
286,DAL,WSH,1,0,4,3,35,23,25.0,66.7,46.6,2016-02-13,1
287,ANA,EDM,1,0,1,0,35,21,50.0,100.0,43.9,2015-12-31,0
288,DAL,PHI,1,0,3,1,44,20,0.0,50.0,59.1,2015-12-11,1
289,FLA,NJD,1,0,5,1,26,16,33.3,66.7,47.4,2015-12-17,0
290,DET,NJD,1,0,1,0,21,22,0.0,100.0,59.6,2016-01-04,0
291,DAL,NSH,1,0,5,2,25,30,0.0,66.7,49.2,2016-03-29,1
292,MIN,STL,1,0,3,1,29,34,0.0,66.7,51.0,2015-12-31,0
293,NYR,EDM,1,0,4,2,21,20,20.0,83.3,52.9,2015-12-15,1
294,BOS,CBJ,1,0,2,2,34,33,0.0,100.0,47.0,2016-01-23,1
295,CAR,CBJ,1,0,4,3,30,24,25.0,100.0,52.8,2016-01-09,0
296,DAL,CAR,1,0,4,1,28,31,0.0,0.0,44.8,2015-11-06,0
297,SJS,CAR,1,0,5,2,21,34,0.0,66.7,57.4,2015-10-24,1
298,NYR,CBJ,1,0,2,1,23,27,0.0,100.0,49.2,2016-02-29,1
